                    Reviews for Samsung Galaxy Watch ,Age,Gender,Location,        Occupation,Month,Year,Quarter
Satisfied with Samsung Smart watch to keep tracking my heart ❤️ rate ,35-44,M,"Aurangabad,  Maharashtra ",Working Professional,August,2023,Q3
"I use to check my blood presser, sugar, rtc ",35-44,F,"Mumbai, Maharashtra",Working Professional,March,2023,Q1
Good experience ,45-54,F,"Kalyan, Maharashtra",Working Professional,December,2024,Q4
"Got my classic 46mm lte variant delivered today.

Those who have complaints on watch battery issues, software update etc etc

Be patient with the watch.
First things first crank it up to 100% charge.
Several updates have been released while its sitting in the box. So do update the watch

If you are facing issues with latest update switch off bluetooth in the watch. Connect to wifi or lte then try updating. I'm sure the update happens smooth then.

Let the machine learning happen on usage for...
READ MORE",55 and above,M," Hyderabad, Telangana",Retired,January,2023,Q1
"The watch is excellent and fits perfectly
Pros:
1. OS: Beautiful OS. Smooth without any lag
2. Build quality: Excellent. I bumped into several things by mistake. No even a scratch.
3. Connectivity: Has Bluetooth, wifi, LTE all a watch needs
4. Functionality: Has all the modes a fitness freak requires. It also detects type of exercise on its own and starts the workout. Great if you forget to start. Has all the major sensors. Measuring is pretty easy and in case of error, it guides you to co...
READ MORE",Under 18,M," Karkal, Maharashtra",Student,October,2023,Q4
It's my dream It's very good product,25-34,M," Kumarapuram, Kerala",Working Professional,February,2023,Q1
"Alk Samsung products (smartphones and watches) take 7-10 days to learn usage and optimize. Till then you'll feel overheating, fast battery draining and all sort of issues. But after that time no other brand can stand at that level... amazing performance and aesthetics...",45-54,M," Ghaziabad, Uttar Pradesh",Working Professional,March,2020,Q1
"Battery Issue but this can be manageable by using power saver and airplane mode. Rest everything is fine as a full fledged smartwatch.

Battery Life
Normal mode (esim mode with wifi on) -20 hrs
Power Saving Mode -36 hrs
Power Saving + airplane mode - 48 hrs
Clock mode(only clock no tracking) - 4 to 5 days",55 and above,M," Yamuna Nagar, Haryana",Retired,June,2024,Q2
"I got the Samsung Smart Watch 4 LTE recently. At first, I was unsure because some people said it didn't last long on a single charge. But after some thought, I went ahead and bought it. For those complaining about the battery life, you have to understand that this watch is like having a little computer on your wrist. It comes with LTE, Bluetooth, Wi-Fi, and fancy sensors, so if you use all the features, it won't last more than 30 hours. It's not fair to expect it to last as long as those simp...
READ MORE",35-44,M," Barmer, Rajasthan ",Freelancer,January,2022,Q1
"Of course I bought this product in the BBD sale. Except for the Battery(1 day hardly) and Charging time(3 hours), It's a GEM of a product!! AND PLEASE DO NOT SIDE LOAD ANY APPS(FOR BP and ECG). That will decrease the battery like anything. Please use only the apps which are supported.

Suggestion - 46mm is very huge. Buy it only if your wrist is kind of big. Otherwise the watch with this big size will look very ugly(Like it's looking for me in the picture). Buy 44mm. It's decent.",25-34,M," Udupi, Karnataka ",Working Professional,May,2020,Q2
LTE is not supported on Airtel Prepaid.,55 and above,M," Chennai, Tamil Nadu",Retired,December,2023,Q4
"Great!

This is my first smartwatch and it's perfect.",45-54,M," New Delhi, Delhi",Working Professional,April,2021,Q2
Really Amazing Product,25-34,F," Neduva, Kerala",Homemaker,July,2024,Q3
"With smooth performance, a great display, sturdy build quality, and a physical rotating bezel for navigating menus, the Samsung Galaxy Watch4 Classic is one of the best smartwatches you can buy today.",55 and above,F," Jaipur, Rajasthan",Homemaker,March,2022,Q1
"I have bought it for the lte feature, but whenever I tried to call from the watch within a minute it shows your phone is hot and needs to be cooled down, and the call gets disconnected and the phone goes to flight mode. This is very unsatisfactory. Other things as usual you are expecting from a smart watch.",45-54,F," Gotamara, Odisha",Homemaker,March,2022,Q1
"I think this is the best under budget Smartwatch in last 2-3 year. This is not like cheap smartband/smartwatch who comes under Two and three thousand, This watch Half Smart watch and half Smart band,

Features like: 1.You can Measure Accurate Heart beat, Sleep, Stress and step counter and body composition
Other features: Bluetooth,GPS, Wifi,Calling, 4G Connectivity with E-Sim, 16GB internal and 1.5GB RAM you can Add Song and photos also, Speaker are also loud, Check All types of Notificatio...
READ MORE",25-34,M," Kapurthala, Punjab",Freelancer,July,2024,Q3
"Product quality is very good
Easy to use
Display is soo smooth and clear
About battery
Works for 2 to 3 daya without lte or aod
But with lte 5 hrs max
Charging is the worst thing , it takes more than 2 hrs for a full charge ..
Over all good product with little life .",25-34,M," Kollam, Kerala",Working Professional,February,2021,Q1
"This Watch is Super Fantastic I loved it very much the feature the build quality all are amazing and the it us the true smart watch ⌚️ It's a Fab Watch From Samsung the accuracy of health parameters is very good you can use this as a phone but the problem is battery the battery is not good the normal usage gives you a 1 day battery backup but if u used it much so you can't get even 1 day battery backup you have to charge it twice in a day But this is best watch in Android world Go for it for...
READ MORE",55 and above,M," New Delhi, Delhi",Retired,December,2020,Q4
Best watch for android,18-24,M," Cuttack, Odisha",Working Professional,November,2024,Q4
"Everything is good as expected, initially I was worried about battery backup, after knowing all the features (tips to save the battery life from the internet) and using the settings wisely I'm getting the battery life for two days (not compromising any of my needs that includes sleep tracking, badminton workout). I'm very happy with NFC payments.",45-54,M," Amalapuram, Andhra Pradesh",Freelancer,February,2023,Q1
"This is the greatest watch
Activity is accurate
LTE Usefully
But main problem is battery and charging time",Under 18,M," Lucknow, Uttar Pradesh",Student,February,2023,Q1
"It's the best you can get for this price. Battery life could have been better. It's one day battery life for me with lte, Bluetooth, heart rate every 10 minutes, wifi on. I usually charge it in the morning everyday and it lasts until the next morning with around 20-30% battery.
It does get hot while charging though, usually after charging watch takes 5 minutes to cool down.

Activity tracking is real good, sleep tracking is also great although the watch does consider any movement in sleep as ...
READ MORE",35-44,M," Bengaluru, Karnataka",Freelancer,August,2021,Q3
The best watch ! There is no comparison for this watch. A proper SMART watch which can do everything a phone can. I got the lte version under 11k and that was the cheapest purchase.,45-54,M," Sangli Mira, Maharashtraj ",Working Professional,August,2023,Q3
"Fantastic product, I'm using the Bluetooth version of 40mm for the last 2 years and right now I got this LTE Version of 46mm. I am wondering why everyone is complaining of battery backup. You have to think that is android watch with quality sensors so don't expect the battery back up of 10 days. I'm getting the battery back up of atleast 2 days and I'm using for running measurements with GPs and always on display. This LTE 46 mm has 361mah as compared to 247mah for 40mm.
Blindly go for it, si...
READ MORE",18-24,F," Barmer, Rajasthan",Working Professional,September,2021,Q3
"I received this watch at no charge. When I charged it for more than 2 hours still watch didn't turn on. So I kept it in charging for more than 4 hours then only it powered on and I got relaxed. So keep it in charging for more that 4 hours for first time.

Coming to the watch:

Watch design is great and looks premium in my hand

Connecting with my one plus mobile is seem less and no lag observed. Required apps are automatically showned for download

Sleep tracking is on point

Auto detection o...
READ MORE",35-44,M," Chennai, Tamil Nadu",Freelancer,August,2020,Q3
I purchased this watch in the BBD sale in 2023. Before I purchased it I was worried about the battery. But when I received my order and updated it to ui 5.0 This watch performance is awesome and also supports samsung pay which is awaiting from launch. Battery performance is like magic 100 percent battery goes with all day and night. I didn't understand why many people were complaining about the battery. This is a smartwatch not a Chinese band.,18-24,M," Jaipur, Rajasthan",Freelancer,December,2023,Q4
I was waiting to buy an Android watch I mean other than Apple. Finally took this because got at a very low price under 10K. Only Issue is Battery and Charging the watch takes 3 hrs to charge 100 percent.,35-44,M," Mahbubnagar, Telangana",Working Professional,September,2021,Q3
"Superb watch, with bad battery backup Then again I use it with wifi and lte so that contributes to bad battery backup. Excellent sync with apps from Play Store and works so well wit the wearable app on my samsung phone. It's like having a second phone that I need to charge each day. There are ways to get the battery backup to 2 days and even more if you keep it on grescale mode with aod switched off. Like the water resistance which works really well. Another good thing that it is future proof...
READ MORE",Under 18,M," Bengaluru, Karnataka",Student,January,2023,Q1
"I've been using this Samsung Galaxy Watch 4 Classic LTE 46mm for the past 11 days. This is a good smart watch for this price range; we're getting all the features of the brand new Watch 6. Out of the box, it doesn't have any charge, so it took more than an hour to turn on the device. It's compactable with my Samsung Galaxy A52s 5G, and LTE works also with non-e-sim mobiles. Don't confuse yourself about that. Since my phone doesn't support e-sim, LTE is still working for me(Jio sim). To get a ...
READ MORE",Under 18,M," Palakkad, Kerala",Student,May,2022,Q2
I am using realme gt master edition phone with this watch. At first need to have a samsung login I'd to get all the features on a non Samsung phone. At first I was not able to set it up correctly. But later I was able to connect with lte and make a call as well.,35-44,F," Gaya, Bihar",Homemaker,May,2023,Q2
Superb watch.,Under 18,M," Akola, Maharashtra",Student,December,2021,Q4
Just uninstall unnecessary apps and disable unnecessary features and the battery lasts enough long. No problem at all.,45-54,M," Visakhapatanam, Andhra Pradesh",Working Professional,November,2021,Q4
"I have tested this watch with 100 % charged and it gives me different results.

1. I had used AOD off, raise to wake on , bezzel to wake on, and heart rate monitor on 10min frequency, stress measure off, pick up 4-5 urgent call on the go and bedtime mode on for 10hrs night 10pm to 8am. So it will last upto 25 hrs and 13% battery still left.

2. I had used AOD off, raise to wake on, bezzel to wake on, heart rate monitor continuously on, stress monitor off, pick up 1-2 call and bedtime mode for...
READ MORE",35-44,M," Jalgaon, Maharashtra",Freelancer,February,2022,Q1
"Great watch still in 2023. If you are buying it to stay productive and monitor health, it still delivers. 2 years later, it's still easily recommendable",25-34,M," New Delhi, Delhi",Working Professional,September,2021,Q3
"Got Galaxy watch Watch 4 Classic .
With Gps Off , Wifi Off , Location off and NFC off
I got 12 Hours of Jio Connection .
I only turn on GPS while im doing workout .
And only turn on LTE data if i need notification .
I own a Galaxy S21 Fe and i Feel Battery is Very Decent on watch 4 classic for 12 Hours on Jio Network. With incoming and outgoing calls . Did not face any hearing issues . I kept Moving Screen. Good watch for the price . Must buy .",Under 18,M," Vasco Da Gama, Goa",Student,February,2021,Q1
Overall the very best product. This is my 2nd Samsung Smart Watch after Glaxy Active 2 LTE. E-sim of Airtel and Jio working. You need a Samsung mobile for the first time for generation/activation of Airtel e-sim. Thereafter you can configure/use it with any Android phone.,45-54,M," Kolkata, West Bengal",Working Professional,June,2020,Q2
Averting is good but battery backup is too 👎,45-54,M," Dharwad, Karnataka",Freelancer,March,2022,Q1
"Value for money 💯
Product very nice 🔥
Features 💯
Quality good",25-34,M," Alangad, Kerala",Freelancer,November,2021,Q4
"Love this product,only let down is battery,I used to charge it in 2days..will do 1 hour jogging,it provides insights in my running and health patterns;installed bp and ecg,you will get from UTube on how to do that ;got a tempered glass and bezel protective ring from uniquebud siite .it took more than 45 days though to get..but It changed look of watch..",25-34,M," Bengaluru, Karnataka",Working Professional,August,2020,Q3
Very Impressive. This is a real smart watch not like other fake brands. Cause of the LTE feature I brought it and all other features are very useful and value for money. The only thing I am not giving it 5 star is the battery draining issue where other watches can charge once in a week or in 2 to 3 days. But we have to charge it everyday morning to use all it features,Under 18,M," Alipurduar, West Bengal",Student,May,2023,Q2
product is excellent but one drawback is battery life,18-24,F," Kolkata, West Bengal",Working Professional,March,2024,Q1
The watch is too good. Activity tracking and accuracy i loved the most. The only drawback is battery life if you activate the battery saving mode it will last for 1 and half days or else one day only. And charging time also will take more than 2 hours. If samsung improves these two issues then it will be the best smart watch. In all aspects. If you want to buy a true smart watch with best activity tracking accuracy and okay to compromise the battery life then this will be the best to choose.,35-44,M," Bengaluru, Karnataka",Freelancer,May,2023,Q2
Good product value for money nice working battery backup 24 hours only,18-24,M," Gadarpur, Uttarakhand",Working Professional,October,2022,Q4
"I don't know if I should be the judge of this product since I don't really use all of the health features much but I bought this product thinking that I'll get a lot of features than a regular fitness/smartband. But after buying it, it does not feel like I should have spent this huge amount of money to have some additional features.
I wish I could get more battery backup. Even turning off the AOD doesn't help much.",55 and above,M," Durg, Chhattisgarh",Retired,September,2020,Q3
"5/5 for everything, just the battery drains very quickly.
Also paired with slow charging makes it harder to use to it's full potential",Under 18,F," Bengaluru, Karnataka",Student,December,2024,Q4
Not very happy. The major drawback is its battery. After 100% charging it lasts for maximum 1.5 days with minimum activities. Otherwise O.K.,45-54,F," Zirakpur, Punjab",Working Professional,July,2024,Q3
"Good smartwatch for diving into Samsung ecosystem
The battery life was medicore but after replacement of battery from service center. It is good to use and easily last upto 2 days",45-54,M," Vaishali District, Bihar",Working Professional,February,2020,Q1
Good quality,45-54,M," Mankachar, Assam",Freelancer,November,2020,Q4
"I have been using this watch for a few months.
It has all the cool features at a very stunning price.
But its battery life is so low

Overall, I have been using this watch for a few months.
It has all the cool features at a very stunning price.
But its battery life is so low

Overall this watch is worth it!!! this watch is worth it!!!",35-44,M," Hyderabad, Telangana",Working Professional,August,2020,Q3
"its real smart watch not like chinese fake sensors.

everybody is complaining battery life, but i am getting full day battery life
bought it in 9000 complete value for money deal
i am super happy with this
4g is super useful , you dont need to carry your mobile while work out, jogging ,running, cycling
auto detect work outs

if you are fitness enthusiast go for it now you can get it below 8k",Under 18,M," Ahmednagar, Maharashtra",Student,July,2023,Q3
Awesome,55 and above,M," Firozabad, Uttar Pradesh",Retired,October,2024,Q4
The watch looks and feels way more premium than its looking in the images,Under 18,F," Kalahandi District, Odisha",Student,October,2021,Q4
"A full fledged Smartwatch, people who complaining it for battery backup issue, it's full Android smartwatch not like other boat or else brand's smartwatch which actually is digital watch. because it have many sensors and also LTE support so it take little more battery but if you use it with power saving mode it will give you approximately 2 days of battery backup. I have no heating issues while using LTE network when i jogg and listening music. If you want proper Smartwatch and enjoy it's fea...
READ MORE",25-34,M," Lucknow, Uttar Pradesh",Working Professional,January,2020,Q1
The product is amazing..only con is its battery life. Otherwise you can go for it,45-54,M," Hyderabad, Telangana",Freelancer,July,2024,Q3
"Battery life is decent, gives me one day with normal use. It takes some time to charge, but I charge it in the night, so it doesn't affect me much. Insane value for money, features are good, tracking is lit!",25-34,M," Anupuram Dae Township, Tamil Nadu",Freelancer,May,2020,Q2
"Product is good
but price is high

Basic design

Most important thing You need samsung Nfc enable phone to use Watch nfc ,.",55 and above,M," Ahmedabad, Gujarat",Retired,February,2020,Q1
"After 2 week of review... Coming from apple watch 7.. still it's not deserve to do a comparison with that apple watch in most cases... But in Android Market it's best... Battery life got better after 5-6 days...but Charging is slow as hell.. bit laggy UI.. lots of Samsung apps that I have to install using ADB to make it faster. Build quality is solid like we always get from Samsung premium device.. the LTE, I've never used it but it'll significantly affect the battery life. And I hope wear O...
READ MORE",45-54,M," Chennai, Tamil Nadu",Working Professional,December,2024,Q4
"Great great product, thanks samsung and flipkart. Those who believe that battery is not good aren't actually comparing with correct watches. I have used watch 3 and watch 4 of samsung. These have a backup of 30-40 hours and you need to charge daily. Just keep your mobile network to auto and bluefooth on- rest everything wifi, nfc, mobile network should be off. Turn them on whenever you need them. If you are carrying without phone- it will give backup of 15-16 hours with calling feature and if...
READ MORE",25-34,M," New Delhi, Delhi",Working Professional,June,2024,Q2
"1. Great Value for Money
2. Battery will last for 12 to 14 hours with AOD off.
3. Exceptional quality",25-34,M," Faridabad, Haryana",Working Professional,May,2021,Q2
"Awesome product
Review after 1 week
I am operating on non-samsung phone working perfectly with LTE features
Everything on this watch is great best watch forever
Many apps are available and works properly that's good
Only one drawback that battery backup is less as with LTE on 18hrs. And without LTE more than 28hr
Normally it's good for mee bcoz it work more enough for a day.",55 and above,M," Ambala, Haryana",Retired,June,2021,Q2
The smart watch is perfect but battery drainage is very quick so the focus of samsung work of battery,35-44,M," Malegaon, Maharashtra",Freelancer,March,2020,Q1
Very nice watch with many features .Only disappointing thing is battery life and ECG app not activated still. However Apple watch has ECG app activated. Hope Samsung India soon gets approval for ECG app usage on this watch.,25-34,M," Solan, Himachal Pradesh",Working Professional,December,2023,Q4
I would not say to go for it. Only better display and rich experience but the battery will not last more than 3 -4 hrs. So what you will do with rich experience 😀,Under 18,M," Mihijam, Jharkhand",Student,June,2020,Q2
Bought it for 10k for that price ok but need to buy everything,55 and above,M," Vijayawada, Andhra Pradesh",Retired,September,2022,Q3
Battery is not good,35-44,M," Perumbaikad, Tamil Nadu",Working Professional,November,2022,Q4
"Battery back is worst. Using for last 3 days. After uninstalled unnecessary apps, all the sensors are manual, all the notification are turned off. I charged the battery for 4 times. For charging also it takes more than 2.5hours. Battery back up is only for 8 hours.
It's a table watch, instead of wearing it on hand it will be on table for charging.",45-54,M," Belgaum, Karnataka ",Freelancer,October,2024,Q4
"Excellent look
Silver shinning rotating bezel with matte finish body case looks so premium
Worth for the money
Got for 7500rs 46mm classic LTE variant
Connected with S24ultra
Everything works perfect",45-54,M," Tiruchirappalli, Tamil Nadu",Freelancer,May,2023,Q2
"Flipkart is selling January 2023 mfg product in July 2024.
Dont buy for sure. I was shocked to see the mfg date on the pack.
A 1.5 yr old stock will anyway loose the battery power.
Basically electronic waste is dumped on customers . This could not have happned in any other country. In India there are no regulations to arrest such menace.",45-54,M," Jaipur, Rajasthan",Working Professional,March,2024,Q1
"It's met my expectations....❣️
Only issue is the battery, it's drain too fast...",18-24,M," Kumarakom, Kerala",Working Professional,April,2023,Q2
Everything is good except battery backup,55 and above,M," Gautam Buddha Nagar, Uttar Pradesh",Retired,January,2024,Q1
awesome,55 and above,M," Begusarai, Bihar ",Retired,December,2022,Q4
Everything best except battery.,Under 18,F," Pavaratty, Kerala",Student,April,2020,Q2
Nice product overall good,25-34,M," Bengaluru, Karnataka",Freelancer,December,2020,Q4
Best wear os watch in this budget. Go for it.,25-34,M," Chennai, Tamil Nadu",Freelancer,January,2021,Q1
Good product but But battery capacity very poor,Under 18,F," Chennai, Tamil Nadu",Student,July,2022,Q3
Waiting for long time to get this. I have already bought watch6 but I love this product.only the issue I faced about battery life. But it pretty good if the sensors are off. Overall it is a value for money product.,45-54,M," Malappuram, Kerala",Working Professional,July,2021,Q3
No power on,25-34,F," Prayagraj, Uttar Pradesh",Homemaker,October,2021,Q4
Apart from battery life watch is worth buying,45-54,M," Ernakulam, Kerala",Freelancer,November,2020,Q4
Only one issue battery and charging. Otherwise this watch can create the revolution in the smart watch market.,35-44,M," Baripada, Odisha",Working Professional,September,2020,Q3
All is good but ECG and BP work only with samsung mobile. Very disappointed,45-54,M," Kurnool, Andhra Pradesh",Working Professional,June,2023,Q2
Watch is awesome as I'm a samsung S series user this is very awesome. Just battery charging and heat issue.,55 and above,F," Ranga Reddy, Telangana",Homemaker,September,2023,Q3
Everything is good. Very very smoothly working. But I don't know why I can't login my Google Account.,Under 18,M," Jharsuguda District, Odisha",Student,December,2020,Q4
Writing review after 3 months of use. Feature loaded watch but lasts day time (12hrs) with LTE. Power saving mode will add on a day more. Battery power is not adequate. Featurewise it can almost replace smartphone.,55 and above,M,"  Pune, Maharashtra",Retired,November,2020,Q4
Charging time and battery life is the problem,45-54,F," Wayanad District, Kerala",Homemaker,June,2023,Q2
Very good product,25-34,F," Katwa, West Bengal",Homemaker,September,2020,Q3
Great watch the only draw back is its battery,18-24,F," Belagavi, Karnataka",Working Professional,April,2023,Q2
Product r fine but battery life is Average,Under 18,F," Coimbatore, Tamil Nadu",Student,February,2021,Q1
I have purchased lte classic version . It is beautifull look wise and feature rich. Only thing a it lacks is battery life. Charging takes around 1 HR 50 min to 100%. If you got it under 10k then you should go for it. You will never disappoint.,18-24,M," Afzalgarh, Uttar Pradesh",Working Professional,April,2020,Q2
"Battery can improve
Design should change
2 options for customer square and round",45-54,M," Kottayam, Kerala ",Working Professional,September,2023,Q3
"Display, features, apps and sync work perfectly fine. But battery life is pretty avg and charging is slow- typical Samsung problems",55 and above,F," Noida, Uttar Pradesh",Homemaker,December,2024,Q4
Must Buy if it's under 12k otherwise not recommended. It's been a month now I've been using it and it's working fine without any issues. Note that only Jio is supported for calling and messaging.,25-34,M," Siliguri, West Bengal",Freelancer,April,2023,Q2
Best in bujet. Excellent lte connection,25-34,M," Visakhapatnam, Andhra Pradesh",Freelancer,July,2023,Q3
"Well the product is good, but tbh the battery backup could have been a bit better, it drains faster while using the Lte feature. But still no complain as such because if we switch on aeroplane mode and use it as watch while connecting with mobile simultaneously via bluetooth, as and when required, it has pretty decent battery life, keeping in mind that in the end it's a smart watch not mobile.",55 and above,M," Agartala, Tripura",Retired,June,2022,Q2
I have been using this watch for the last 01 month. Decent battery life if Always On Display is off and LTE mode on Auto. You'll get the whole day of battery in a single charge. It takes more than 2 hours to fully charge the watch. Rest is good.,55 and above,F," Bengaluru, Karnataka",Homemaker,September,2024,Q3
"Battery life is a little less I would say because you need to charge it every single day and the charging also takes around more than 2hrs so yeah battery is the only thing that bugs me.
Other than that this watch is the best that I could buy in this price range as of now.",25-34,M," New Delhi, Delhi",Working Professional,November,2022,Q4
"The watch is really good in terms of functions it offers but the main disadvantage is battery life. I am getting a maximum of two days of back up with all activity trackers and sensors turned off (WiFi and Bluetooth turned on and connected to phone) otherwise it will only last for one and half days. But we cannot complain about that since it is a proper smart watch which is running on Wear os unlike just fitness trackers. If you can charge it overnight and want to use all features of a proper...
READ MORE",45-54,M," Alappuzha, Kerala",Working Professional,September,2023,Q3
Best in Android,45-54,M," Bengaluru, Karnataka",Working Professional,March,2024,Q1
"If you are looking for a real smart watch then this is it
Because other watches are available in the market are not the smart watch they are just band like noise ,fire bolt ,boat etc
This watch everything is good just it take time to charge and it is like a mobile phone so its battery also drain like a phone",Under 18,M," Delhi, Delhi",Student,October,2020,Q4
Best smartwatch in this time. Many more options but watch 4 classic is always Best deal for everyone. 😊❤️,25-34,F," Patna, Bihar",Homemaker,March,2024,Q1
Not bad,18-24,F," Kozhikode, Kerala",Working Professional,November,2020,Q4
Nice product with lot of features but battery backup is less.,55 and above,F," Navi Mumbai, Maharashtra",Homemaker,May,2021,Q2
"Samsung Galaxy Watch 4 Classic LTE: A Comprehensive Review
The Samsung Galaxy Watch 4 Classic LTE is a feature-packed smartwatch that offers a blend of style, functionality, and health tracking capabilities. With its sleek design, powerful performance, and Wear OS platform, it's a compelling choice for those seeking a versatile wearable.
Key Features and Performance
* Wear OS: The watch runs on Wear OS, ensuring compatibility with a wide range of Android apps and services.
* LTE Connectivit...
READ MORE",25-34,M," Lucknow, Uttar Pradesh",Freelancer,October,2023,Q4
"One of Best Purchase , You Are buying a friend for your self, very useful this watch is , bigxby alexa works like magic,
NO BATTERY ISSUE, NO HEATING ISSUE , fake reviews from rival company , If you can buy blindly go for it , it will serve you for years , superb display, steel body , PRIMIUM WATCH TRUELY
I AM HAPPY",55 and above,M," Bhavnagar, Gujarat",Retired,August,2023,Q3
